,距離,馬場,着順,馬番,斤量,単勝,人気,増減,前着順,前距離,前馬番,前人気,複勝
13159,2000,1,5,3,54,14.5,4,-8,9,1800,4,3,0
13160,2000,1,6,11,51,7.2,3,0,4,2000,7,4,0
13161,2000,1,7,4,54,37.1,9,-2,10,2000,11,11,0
13162,2000,1,8,2,57,17.6,7,6,6,1700,5,2,0
13163,2000,1,9,5,56,32.7,8,-6,7,2000,8,6,0
13164,2000,1,10,7,54,5,2,-2,1,1800,10,1,0
13165,2000,1,11,8,51,82.2,11,6,12,1800,7,10,0
13166,2200,1,1,11,55,3.7,2,-4,3,2400,11,5,130
13167,2200,1,2,8,57,5.1,3,8,7,2000,9,2,160
13168,2200,1,3,5,57,8.8,5,0,4,2200,6,6,190
13169,2200,1,4,12,53,29.8,7,0,10,2400,12,6,0
13170,2200,1,5,6,51,7.3,4,-4,1,2000,4,5,0
13171,2200,1,6,7,57,14.2,6,0,2,2400,6,11,0
13172,2200,1,7,1,57,51.7,10,2,8,2400,14,10,0
13173,2200,1,8,3,57,46.6,9,0,9,1800,4,6,0
13174,2200,1,9,4,57,37,8,2,8,2000,5,5,0
13175,2200,1,10,2,57,2.8,1,0,1,2200,6,1,0
13176,2200,1,11,10,57,119.6,12,-8,10,1600,4,10,0
13177,2200,1,12,9,57,89.7,11,12,14,2100,15,14,0
13178,1200,1,1,9,56,3.4,1,0,1,1200,3,1,150
13179,1200,1,2,4,57.5,11.6,7,-4,9,1200,6,7,300
13180,1200,1,3,3,58,5.6,2,2,2,1200,4,12,200
13181,1200,1,4,8,52,22.6,8,-14,3,1400,10,7,0
13182,1200,1,5,7,56,8.5,5,10,1,1200,13,8,0
13183,1200,1,6,1,54,10.9,6,-10,10,1400,5,8,0
13184,1200,1,7,6,49,47.8,11,2,12,1000,8,9,0
13185,1200,1,8,13,51,5.7,3,4,3,1200,7,2,0
13186,1200,1,9,5,56,59.4,12,-6,10,1200,2,16,0
13187,1200,1,10,10,51,27.7,9,2,2,1200,5,5,0
13188,1200,1,11,11,50,32.1,10,6,9,1200,9,5,0
13189,1200,1,12,2,56,6.5,4,0,3,1200,7,17,0
13190,1200,1,2,7,54,2.5,1,0,3,1200,5,2,110
13191,1200,1,3,8,54,79.3,8,-10,9,1600,10,11,770
13192,1200,1,4,3,54,2.5,2,-2,2,1200,5,4,0
13193,1200,1,5,4,54,17.5,5,4,8,1200,4,8,0
13194,1200,1,6,2,54,67.5,7,-2,9,1400,4,9,0
13195,1200,1,7,5,54,13.7,4,0,6,1200,8,6,0
13196,1200,1,8,1,53,26.8,6,4,9,1600,3,6,0
13197,1200,1,9,6,54,151.6,9,0,6,1400,6,6,0
13198,1600,1,1,2,54,23.8,7,10,11,2000,15,9,550
13199,1600,1,2,12,54,2.6,2,-4,2,1600,4,5,150
13200,1600,1,3,3,54,81.3,12,4,12,1400,7,10,1660
13201,1600,1,4,11,52,67.5,11,-10,11,1600,8,14,0
13202,1600,1,5,6,54,20.8,6,-2,13,1400,2,7,0
13203,1600,1,6,1,51,27.6,8,10,18,1400,6,4,0
13204,1600,1,7,5,54,11.2,4,-4,4,1600,14,5,0
13205,1600,1,8,15,54,17.1,5,8,5,1600,18,13,0
13206,1600,1,9,8,54,2.3,1,0,3,1600,11,1,0
13207,1600,1,10,9,54,54.6,10,0,11,1400,12,12,0
13208,1600,1,11,7,53,200.7,14,14,14,1400,12,14,0
13209,1600,1,12,13,54,90.6,13,-10,12,1400,2,8,0
13210,1600,1,13,4,54,46.5,9,-2,6,1600,2,10,0
13211,1600,1,14,10,54,11.2,3,4,16,2000,15,3,0
13212,1600,1,15,14,54,308.9,15,4,16,1400,13,15,0
13213,1600,1,16,16,51,362.1,16,-15,8,1400,7,4,0
13214,1400,1,1,5,54,1.4,1,0,5,1400,5,1,110
13215,1400,1,2,4,54,37.5,8,0,5,1400,4,8,420
13216,1400,1,3,10,54,20.7,5,0,5,1400,10,5,270
13217,1400,1,4,13,54,10,3,0,5,1400,13,3,0
13218,1400,1,5,8,51,65.3,9,0,5,1400,8,9,0
13219,1400,1,6,7,54,21.9,6,0,5,1400,7,6,0
13220,1400,1,7,11,54,7.8,2,0,5,1400,11,2,0
13221,1400,1,8,6,54,25.9,7,0,5,1400,6,7,0
13222,1400,1,9,3,54,10.3,4,0,5,1400,3,4,0
13223,1400,1,10,9,54,112.5,10,0,5,1400,9,10,0
13224,1400,1,11,12,54,125.3,12,0,5,1400,12,12,0
13225,1400,1,12,2,52,165.3,13,0,5,1400,2,13,0
13226,1400,1,13,1,54,117.6,11,0,5,1400,1,11,0
13227,2000,1,1,3,52,10,5,-2,4,2000,8,7,260
13228,2000,1,2,18,56,5.2,3,-6,4,2000,3,2,200
13229,2000,1,3,4,56,7.7,4,-12,8,1800,7,2,260
13230,2000,1,4,6,54,16.7,7,0,4,1800,12,7,0
13231,2000,1,5,2,56,11.4,6,4,8,1800,2,2,0
13232,2000,1,6,8,56,4.6,2,-4,2,2400,3,2,0
13233,2000,1,7,16,56,2.8,1,4,2,2000,9,3,0
13234,2000,1,8,1,53,42.6,9,-10,7,2000,11,8,0
