,レース,芝ダ,距離,天候,馬場,着順,馬番,斤量,単勝,人気,馬体重,増減
2947,3,0,1200,0,0,13,5,53.0,107.1,12,446,18
2948,3,0,1200,0,0,14,11,54.0,50.0,9,408,-2
2949,3,0,1200,0,0,15,16,51.0,193.0,13,460,-2
2950,3,0,1200,0,0,16,8,53.0,197.4,14,412,4
2951,4,0,1800,0,0,1,12,54.0,7.8,3,482,8
2952,4,0,1800,0,0,2,5,53.0,14.0,7,494,0
2953,4,0,1800,0,0,3,8,55.0,11.9,6,492,0
2954,4,0,1800,0,0,4,15,55.0,9.8,5,454,0
2955,4,0,1800,0,0,5,14,55.0,2.6,1,456,-2
2956,4,0,1800,0,0,6,11,54.0,70.1,12,414,-10
2957,4,0,1800,0,0,7,1,55.0,17.6,8,478,-2
2958,4,0,1800,0,0,8,6,55.0,7.7,2,508,2
2959,4,0,1800,0,0,9,2,54.0,8.2,4,432,-8
2960,4,0,1800,0,0,10,9,55.0,33.1,10,494,-4
2961,4,0,1800,0,0,11,16,53.0,181.6,15,392,-2
2962,4,0,1800,0,0,12,4,52.0,150.9,14,410,14
2963,4,0,1800,0,0,13,3,55.0,31.4,9,502,6
2964,4,0,1800,0,0,13,7,54.0,146.8,13,404,-2
2965,4,0,1800,0,0,15,10,52.0,68.7,11,414,-6
2966,4,0,1800,0,0,16,13,55.0,247.0,16,482,6
2967,5,0,2000,0,0,1,6,53.0,24.2,7,432,0
2968,5,0,2000,0,0,2,2,54.0,8.3,4,478,0
2969,5,0,2000,0,0,3,3,54.0,4.7,2,482,0
2970,5,0,2000,0,0,4,5,55.0,6.5,3,480,0
2971,5,0,2000,0,0,5,1,55.0,63.8,10,510,0
2972,5,0,2000,0,0,6,7,54.0,12.6,5,476,0
2973,5,0,2000,0,0,6,11,53.0,65.4,11,452,0
2974,5,0,2000,0,0,8,10,55.0,2.3,1,496,0
2975,5,0,2000,0,0,9,8,54.0,25.6,8,466,0
2976,5,0,2000,0,0,10,4,55.0,14.4,6,518,0
2977,5,0,2000,0,0,11,9,52.0,43.0,9,458,0
2978,6,1,1150,0,0,1,8,57.0,3.4,1,464,-2
2979,6,1,1150,0,0,2,13,57.0,3.5,2,476,0
2980,6,1,1150,0,0,3,15,53.0,33.2,10,440,-6
2981,6,1,1150,0,0,4,12,57.0,31.0,8,524,2
2982,6,1,1150,0,0,5,5,56.0,94.2,15,468,6
